,appid,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
1367,648060,Nucvivor,2019-02-28 00:00:00,10500,6.0,6.0,Adventure,1.0,0.0,Indie,2.0,0.0,0.0,,mixed,single only,12,13,,,
1368,648070,CrisisActionVR,2017-09-11 00:00:00,20500,6.0,6.0,Action,0.0,20.0,Action,2.0,0.0,0.0,,mixed,single and multi,14,10,,,58.1
1369,648100,Raging Loop,2017-08-24 00:00:00,32000,4.0,4.0,Adventure,0.0,0.0,Adventure,2.0,0.0,0.0,overwhelmingly positive,overwhelmingly positive,single only,2884,84,101.2,429,
1370,648120,Pixel Painter,2017-06-20 00:00:00,1100,6.0,6.0,Casual,0.0,0.0,Education,10.0,0.0,0.0,,mostly positive,,728,254,4.9,8487,
1371,648150,Arcsaber VR,2021-01-16 00:00:00,1100,6.0,6.0,Action,1.0,0.0,Action,1.0,0.0,0.0,,1 user reviews,single only,1,0,,,
1372,648190,Aliens In The Yard,2017-07-26 00:00:00,9000,5.0,5.0,Action,0.0,50.0,Action,12.0,0.0,0.0,,6 user reviews,single only,8,1,0.0,2,75.0
1373,648220,SCP Area 8,,,6.0,6.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,no user reviews,single only,,,,,
1374,648270,I See Your Pain,,,6.0,6.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,no user reviews,single only,,,,,
1375,648350,Jurassic World Evolution,2018-06-12 00:00:00,46400,2.0,2.0,Simulation,0.0,73.0,Building,12.0,0.0,1.0,very positive,very positive,single only,42371,6707,796.7,60296,95.0
1376,648380,Bullet Dodge,2017-06-15 00:00:00,1100,6.0,6.0,Action,0.0,11.0,Action,1.0,0.0,0.0,,no user reviews,single only,0,1,0.0,1,93.1
1377,648390,Marie's Room,2018-04-13 00:00:00,0,5.0,5.0,Adventure,0.0,7.0,Free to Play,1.0,0.0,1.0,very positive,very positive,single only,5417,334,5.4,274,85.6
1378,648410,Colony Ship: A Post-Earth Role Playing Game,2021-04-06 00:00:00,31000,4.0,4.0,RPG,1.0,0.0,Early Access,1.0,0.0,0.0,mostly positive,very positive,single only,527,95,21.3,337,
1379,648440,Pixel Devil and the Broken Cartridge,2019-02-27 00:00:00,5500,6.0,6.0,Action,0.0,22.0,Indie,8.0,0.0,0.0,,mixed,single only,65,40,,,73.8
1380,648510,Choice of the Star Captain,2012-09-26 00:00:00,4400,2.0,2.0,Adventure,0.0,0.0,Indie,1.0,0.0,0.0,,positive,single only,8,3,0.2,5,
1381,648530,Reckless Space Pirates,2013-12-06 00:00:00,4400,2.0,2.0,Adventure,0.0,13.0,Adventure,1.0,0.0,0.0,,3 user reviews,,1,2,,,88.4
1382,648550,Choice,2017-11-20 00:00:00,1100,6.0,6.0,Action,0.0,34.0,Action,1.0,0.0,0.0,,9 user reviews,single only,16,4,,,91.5
1383,648570,Hell Dimension VR,2017-09-08 00:00:00,10500,6.0,6.0,Action,0.0,27.0,Action,3.0,0.0,0.0,,7 user reviews,single and multi,15,3,,,90.0
1384,648580,428: Shibuya Scramble,2018-09-05 00:00:00,51000,2.0,2.0,Adventure,0.0,27.0,Adventure,1.0,0.0,0.0,overwhelmingly positive,very positive,single only,981,63,88.3,413,49.4
1385,648600,FINAL FANTASY XV WINDOWS EDITION MOD ORGANIZER,2018-06-08 00:00:00,0,6.0,6.0,Free to Play,0.0,0.0,Free to Play,3.0,0.0,0.0,,mostly negative,single only,13,26,0.2,55,
1386,648630,Damascus Gear Operation Tokyo HD,2017-08-09 00:00:00,16000,2.0,2.0,Action,0.0,10.0,Action,2.0,0.0,0.0,,mixed,single only,12,16,0.1,28,89.6
1387,648640,Antiquia Lost,2017-07-06 00:00:00,10500,6.0,4.0,Adventure,0.0,0.0,Adventure,2.0,0.0,0.0,,positive,single only,19,6,,,
1388,648750,Tokaido,2017-12-04 00:00:00,10500,6.0,6.0,Adventure,0.0,34.0,Board Game,10.0,0.0,0.0,,mixed,single only,79,39,0.5,28,56.6
1389,648780,It's Quiz Time,2017-12-01 00:00:00,20500,6.0,6.0,Casual,0.0,38.0,Trivia,5.0,0.0,0.0,,mostly positive,single only,131,51,2.3,173,74.0
1390,648800,Raft,2022-06-21 00:00:00,21000,6.0,6.0,Adventure,1.0,104.0,Survival,12.0,0.0,0.0,very positive,very positive,single and multi,179566,13070,39859.5,100474,92.9
1391,648810,Vehicle VR,2017-06-09 00:00:00,2200,5.0,5.0,Action,0.0,7.0,3D Platformer,1.0,0.0,0.0,,8 user reviews,single only,22,9,,,81.3
1392,648880,Guano Gladiators,2017-07-07 00:00:00,3300,6.0,6.0,Action,0.0,27.0,Indie,1.0,0.0,0.0,,7 user reviews,single only,11,0,,,95.8
1393,648890,DMT: Dynamic Music Tesseract,2018-12-15 00:00:00,5500,6.0,6.0,Indie,0.0,0.0,Simulation,1.0,0.0,0.0,,very positive,single only,156,17,0.7,28,
1394,649000,You Shall Not Jump: PC Master Race Edition,2017-06-22 00:00:00,7500,6.0,6.0,Action,0.0,56.0,Action,2.0,0.0,0.0,,1 user reviews,single only,4,4,,,70.2
1395,649040,Isle in the Sky,2017-06-12 00:00:00,4400,6.0,6.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,no user reviews,single only,1,0,0.0,1,
1396,649120,Magician's Gambit,2017-09-01 00:00:00,9500,6.0,6.0,Casual,0.0,0.0,Casual,1.0,0.0,0.0,,positive,single only,10,0,,,
1397,649150,Phobia,2017-06-09 00:00:00,6500,6.0,6.0,Action,0.0,0.0,Action,2.0,0.0,0.0,,mixed,single only,16,38,,,
